"PSM Act, EdSpark Test (Transport Services)","Transport Services"
Domain,Element,"Question Text",Answer,"Answer Text"
teaching,"Professional Learning",Emerging,"Most teachers engage with professional learning sessions offered by the school that focus on the Digital Technologies curriculum and the ICT Capability. ",Yes,
teaching,"Professional Learning",Developing,"Most teachers make changes to their practice after participating in Digital Technologies curriculum and ICT Capability professional learning sessions offered by the school.",Yes,
teaching,"Professional Learning",Achieving,"Most teachers actively seek out, and engage with, Digital Technologies curriculum and ICT Capability professional learning sessions, and implement change as a result of these sessions. ",Yes,
teaching,"Professional Learning",Excelling,"Most teachers facilitate Digital Technologies curriculum and ICT Capability professional learning for others.",Yes,
leading,Culture,Emerging,"School leaders have recognised the role of technology in teaching and learning.",Yes,
leading,Culture,Developing,"School leaders have nurtured a culture where digital practices are encouraged.",Yes,
leading,Culture,Achieving,"School leaders have considered what strategies need to be implemented to achieve the school's digital vision of how technology will transform teaching, learning and ways of working.",Yes,
leading,Culture,Excelling,"School leaders have secured the support of the whole-school community to enact the digital vision of embedding a digital culture in the school.",Yes,
leading,Culture,Emerging,"The school has changed routine practices or business processes by introducing new technology in the past two years.",Yes,
leading,Culture,Developing,"The school has reviewed its current practices to identify new technology that can improve specific ways of teaching, learning and working.",Yes,
leading,Culture,Achieving,"The school has encouraged and empowered its external stakeholders to propose new technology and processes that will improve specific ways of teaching, learning and working.",No,
leading,Culture,Emerging,"School leaders provide opportunities for staff to develop their understanding of why embedding a digital culture is important.",Yes,
leading,Culture,Developing,"School leaders provide opportunities for staff to understand how they can contribute to the school's digital culture on an ongoing basis.",Yes,
leading,Culture,Achieving,"School leaders regularly monitor, review and adjust the school's practices to overcome barriers to its digital transformation.",Yes,
leading,Culture,Excelling,"The whole-school community shares in the responsibility for the pedagogical, technological and organisational changes to achieve sustainable digital improvements.",No,
leading,Culture,Emerging,"School leaders encourage technology-enhanced practices.",Yes,
leading,Culture,Developing,"School leaders use technology when carrying out their routine work.",Yes,
leading,Culture,Achieving,"School leaders demonstrate how technology can be used to improve the efficiency and effectiveness of work practices.",Yes,
leading,Culture,Excelling,"School leaders nurture, motivate and apply innovative practices, enabled by technology within their school and more broadly across the education system.",Yes,
leading,Connections,Emerging,"All school staff and students are informed of school matters through technology. ",Yes,
leading,Connections,Developing,"All school staff and students have access to technology that enables them to publish and share resources and information.",Yes,
leading,Connections,Achieving,"All school staff and students interact using video-conferencing technology, when appropriate.",Yes,
leading,Connections,Excelling,"All school staff and students use a range of technology to support seamless communication.",Yes,
leading,Connections,Emerging,"The school uses its digital platforms to publish information to its external stakeholders.",Yes,
leading,Connections,Developing,"The school creates opportunities to engage with its external stakeholders by directly communicating with them on relevant matters.",Yes,
leading,Connections,Achieving,"The school creates opportunities through its digital platforms to engage with its external stakeholders on relevant matters.",No,
leading,Connections,Emerging,"School leaders encourage the use of technology to facilitate the sharing of information and discussions between internal stakeholders. ",Yes,
leading,Connections,Developing,"School leaders ensure that the internal stakeholders understand their roles and responsibilities when using technology so they collaborate in a cooperative manner.",Yes,
leading,Connections,Achieving,"School leaders ensure that there are formal policies, processes and procedures to facilitate productive, respectful collaboration between internal and external stakeholders when using technology. ",No,
learning,"Digital Technologies",Emerging,"Most students apply, with some guidance, basic Digital Technologies curriculum skills to complete tasks.",Yes,
learning,"Digital Technologies",Developing,"Most students independently apply a familiar set of Digital Technologies curriculum skills to complete tasks.",Yes,
learning,"Digital Technologies",Achieving,"Most students adapt their proficient Digital Technologies curriculum skills to suit a variety of tasks and projects.",Yes,
learning,"Digital Technologies",Excelling,"Most students possess an extensive range of Digital Technologies curriculum skills and can confidently experiment with new ways of combining these to solve project-based problems.",Yes,
learning,"Digital Technologies",Emerging,"When problem-solving, most students can recall components of the key concepts in the Digital Technologies curriculum.",Yes,
learning,"Digital Technologies",Developing,"When problem-solving, most students can combine relevant components from some of the key concepts in the Digital Technologies curriculum.",Yes,
learning,"Digital Technologies",Achieving,"When problem-solving, most students can make connections between the concepts in the  Digital Technologies curriculum and explain the basis for these connections.",Yes,
learning,"Digital Technologies",Excelling,"When problem-solving, most students can apply a systematic approach to selecting combinations of the concepts of the Digital Technologies curriculum, which maximise the achievement of successful solutions. ",Yes,
learning,"Digital Technologies",Emerging,"Most students are familiar with the key features of at least one of the three ways of thinking:--computational-design -systems.-",Yes,
learning,"Digital Technologies",Developing,"Most students apply relevant computational, design or systems ways of thinking when solving routine problems.",Yes,
learning,"Digital Technologies",Achieving,"Most students select and apply computational, design and systems ways of thinking when solving complex problems.",Yes,
learning,"Digital Technologies",Excelling,"Most students intuitively transfer and adapt their computational, design and systems ways of thinking to other learning endeavours.",Yes,
learning,"Digital Literacy",Emerging,"Most students can use the basic features of technology when undertaking simple tasks. ",Yes,
learning,"Digital Literacy",Developing,"Most students can use the core features of the technology available in their school environment. ",Yes,
learning,"Digital Literacy",Achieving,"Most students can use with ease, the school's technology and infrastructure for independent and collaborative learning.",Yes,
learning,"Digital Literacy",Excelling,"Most students can transfer their extensive ICT skills and their operational knowledge of how to solve technical problems, to new technologies.",Yes,
learning,"Digital Literacy",Emerging,"Most students respect others when using technology to communicate with them.",Yes,
learning,"Digital Literacy",Developing,"Most students protect and manage their digital identity.",Yes,
learning,"Digital Literacy",Achieving,"Most students manage risks and threats responsibly, and use technology in productive ways. ",Yes,
learning,"Digital Literacy",Excelling,"Most students are competent and confident digital citizens who, with respect to technology, understand their rights and responsibilities, and model safe, ethical and legal ways to use it.",Yes,
learning,"Digital Literacy",Emerging,"When using technology and following teacher-directed plans to complete tasks, most students can: --exercise some control over their behaviour -respond positively to teacher feedback.-",Yes,
learning,"Digital Literacy",Developing,"When using technology to achieve teacher-provided goals, most students can: --plan their approach to completing tasks-use some known strategies to experience success in unfamiliar situations-incorporate teacher feedback.-",Yes,
learning,"Digital Literacy",Achieving,"When using technology to achieve personal learning goals, most students can: --adjust their work plans in response to unexpected challenges-demonstrate commitment, responsibility and self-evaluation-work independently and collaboratively to achieve their learning goals. -",Yes,
learning,"Digital Literacy",Excelling,"When using technology, most students can: --develop their competence autonomously -avoid distractions -evaluate internal and external feedback -set meaningful personal goals for future learning while being self-directed, systematic learners. -",Yes,
learning,"Digital Literacy",Emerging,"Most students apply their ICT skills when using technology that is selected by the teacher and is appropriate to the learning activities.",Yes,
learning,"Digital Literacy",Developing,"Most students, when provided with choice, can select an appropriate technology based on its capabilies, and apply their ICT skills to undertake a learning activity.",Yes,
learning,"Digital Literacy",Achieving,"Most students independently choose technology appropriate to the learning activity demands, and provide reasons for their choice.",No,
learning,Environment,Emerging,"While at school, most students use technology to support their learning.",Yes,
learning,Environment,Developing,"While at school, most students regularly use technology, including assistive technologies where needed, to support their learning.",Yes,
learning,Environment,Achieving,"While at school, most students independently use technology, including subject-specific ones, to support their learning.",Yes,
learning,Environment,Excelling,"While at school, most students use technology at all times throughout the day, to support their learning.",Yes,
learning,Environment,Emerging,"The school has a reliable infrastructure that can support the use of student-owned technology brought to school.",Yes,
learning,Environment,Developing,"The school has a policy that states the minimum technical specifications for student-owned technology, as well as rules and guidelines regarding its use.",Yes,
learning,Environment,Achieving,"The school has a support system in place to minimise disruptions when student-owned technology is not available, enabling learning to take place anytime, anywhere.",Yes,
learning,Environment,Excelling,"The school has robust BYOD policies and practices, and an infrastructure that supports student independence, agency, innovation, collaboration and creativity.",Yes,
learning,Environment,Emerging,"Most students are able to access technology at home.",Yes,
learning,Environment,Developing,"Most students are supported in their use of technology for learning at home.",Yes,
learning,Environment,Achieving,"Most students are able to access technical expertise at home to enhance their learning.",Yes,
learning,Environment,Excelling,"Most students benefit from the shared expectations of how technology is used for learning at home and at school. ",Yes,
learning,Environment,Emerging,"Most students believe that technology is useful for learning or leisure activities.",Yes,
learning,Environment,Developing,"Most students have a positive attitude towards using technology to support their learning.",Yes,
learning,Environment,Achieving,"Most students are motivated to use technology to support their learning goals.",Yes,
learning,Environment,Excelling,"Most students demonstrate perseverance and eagerness when using a wide range of familiar and unfamiliar technology.",Yes,
learning,Environment,Emerging,"Most students are willing to use technology suggested by their teacher when completing learning activities.",Yes,
learning,Environment,Developing,"Most students play an active role when selecting and using technology to meet their learning needs.",Yes,
learning,Environment,Achieving,"Most students take responsibility for:--selecting technology that suits their learning preferences and goals -supporting others in using that technology-reflecting on how that technology meets their needs.-",Yes,
learning,Environment,Excelling,"Most students co-design their learning with teachers, students and parents or caregivers, that involves using technology to: --maximise the learning for all-meet the class's co-constructed learning needs.-",Yes,
managing,Practices,Emerging,"The school understands its obligations to be compliant with the Department's security policies and procedures.",Yes,
managing,Practices,Developing,"The school plans and delivers training on security procedures for all staff, based on the Department's policies. ",Yes,
managing,Practices,Achieving,"The school regularly applies risk strategies, including effective backup procedures and data security, to protect its data.",Yes,
managing,Practices,Excelling,"The school regularly monitors and models exemplary risk assessment and mitigation processes and practices to manage, and respond to, the evolving cyber security threat landscape.",Yes,
managing,Practices,Emerging,"The school understands the Department's student online policies and procedures, and applies strategies to restrict access to all of the private data the school collects and stores.",Yes,
managing,Practices,Developing,"The school has clearly expressed, up-to-date privacy guidelines about how it manages privacy information, which are in accordance with the Department's policies and procedures.",Yes,
managing,Practices,Achieving,"The school applies procedures for identifying and managing privacy risks at each of the information lifecycle stages stated in the Department's Cyber Security Policy.",No,
managing,Practices,Emerging,"School leaders are aware of the Department's mandated policies regarding student behaviour when using technology.",No,
managing,Resources,Emerging,"The school is aware of the digital capabilities of its allied professional staff.",Yes,
managing,Resources,Developing,"The school allocates funds for individual allied professional staff to participate in programs that meet their current digital capability needs.",No,
managing,Resources,Emerging,"The school is aware of available ICT support for its school-owned technology and its infrastructure.",No,
managing,Resources,Emerging,"The school is aware of its responsibility to maintain the core infrastructure and network hardware on a break-fix basis. ",No,
managing,Resources,Emerging,"The school provides technology for teachers, students and allied professional staff.",No,
managing,Resources,Emerging,"The school provides technical support for student-owned technology.",No,
managing,Administration,Emerging,"The school uses technology to record and store student data.",No,
managing,Administration,Emerging,"The school uses technology to record and store staff data.",No,
managing,Administration,Emerging,"The school uses technology to record and store administrative data. ",No,
--------------------------------------------------------------
